,0
SEQN,0
BMDSTATS,79
BMXWT,86
BMIWT,5773
BMXRECUM,5874
BMXHEAD,5955
BMIHEAD,5955
BMXHT,98
BMIHT,5898
BMXBMI,103
BMDBMIC,4211
BMXLEG,731
BMILEG,5769
BMXARML,223
BMIARML,5820
BMXARMC,223
BMIARMC,5820
BMXWAIST,284
BMIWAIST,5762
BMXHIP,1162
BMIHIP,5807
SDDSRVYR,0
RIDSTATR,0
RIAGENDR,0
RIDAGEYR,0
RIDAGEMN,5955
RIDRETH1,0
RIDRETH3,0
RIDEXMON,0
DMDBORN4,1
DMDYRUSZ,4598
DMDEDUC2,1774
DMDMARTZ,1772
RIDEXPRG,5091
SIALANG,0
SIAPROXY,0
SIAINTRP,0
FIALANG,374
FIAPROXY,374
FIAINTRP,374
MIALANG,745
MIAPROXY,745
MIAINTRP,745
AIALANGA,1922
WTINTPRP,0
WTMECPRP,0
SDMVPSU,0
SDMVSTRA,0
INDFMPIR,803
DBQ010,5600
DBD030,5675
DBD041,5602
DBD050,5672
DBD055,5603
DBD061,5605
DBQ073A,5725
DBQ073B,5887
DBQ073C,5939
DBQ073D,5953
DBQ073E,5943
DBQ073U,5930
DBQ700,1345
DBQ197,1
DBQ223A,4067
DBQ223B,4083
DBQ223C,5438
DBQ223D,5727
DBQ223E,5823
DBQ223U,5452
DBQ229,1774
DBQ235A,2911
DBQ235B,2901
DBQ235C,2897
DBQ301,4468
DBQ330,4468
DBQ360,4269
DBQ370,4530
DBD381,4565
DBQ390,4832
DBQ400,4542
DBD411,4643
DBQ421,5186
DBQ424,5017
DBD895,25
DBD900,1265
DBD905,32
DBD910,21
CBQ596,1353
CBQ606,4952
CBQ611,4953
DBQ930,1344
DBQ935,1344
DBQ940,1344
DBQ945,1344
SMD460,366
SMD470,4250
INDFMMPI,1264
INDFMMPC,689
PAQ605,1573
PAQ610,4892
PAD615,4901
PAQ620,1576
PAQ625,4090
PAD630,4102
PAQ635,1572
PAQ640,4934
PAD645,4942
PAQ650,1571
PAQ655,4823
PAD660,4827
PAQ665,1573
PAQ670,4187
PAD675,4191
PAD680,1604
